rxns	TCGA-44-6148-11	TCGA-50-5939-11	TCGA-49-6761-11	TCGA-55-6971-11	TCGA-91-6835-11	TCGA-38-4632-11	TCGA-49-6745-11	TCGA-44-2668-11	TCGA-91-6831-11	TCGA-55-6982-11
5MTHFt2	1	1	1	1	1	1	1	1	1	1
5THFtl	0	0	0	0	0	0	0	0	0	0
5THFtm	0	0	0	0	0	0	0	0	0	0
6DHFtl	0	0	0	0	0	0	0	0	0	0
6DHFtm	0	0	0	0	0	0	0	0	0	0
6HTSTSTERONEte	0	1	0	0	0	0	0	0	0	0
6HTSTSTERONEtr	0	1	0	0	0	0	0	0	0	0
6THFtl	0	0	0	0	0	0	0	0	0	0
6THFtm	0	0	0	0	0	0	0	0	0	0
7DHCHSTEROLtr	0	0	0	0	0	0	0	0	0	0
7DHFtl	1	1	1	1	1	1	1	1	1	1
7DHFtm	1	1	1	1	1	1	1	1	1	1
7THFtl	1	1	1	1	1	1	1	1	1	1
7THFtm	1	1	1	1	1	1	1	1	1	1
A_MANASEly	1	1	1	1	1	1	1	1	1	1
A4GALTg	1	1	1	1	1	1	1	1	1	1
A4GNT2g	0	0	0	0	0	0	0	0	0	0
AACOAT	1	1	1	1	1	1	1	1	1	1
AACTOOR	1	1	1	1	1	1	1	1	1	1
AACTtm	1	1	1	1	1	1	1	1	1	1
AASAD3m	0	0	0	0	0	0	0	0	0	0
AATAi	1	1	1	1	1	1	1	0	1	1
ABO1g	1	1	1	1	1	1	1	1	0	1
ABO2g	1	1	1	1	1	1	1	1	0	1
ABO3g	1	0	0	1	1	0	0	0	0	1
ABO4g	1	1	1	1	1	1	1	1	1	1
ABO5g	1	1	1	1	1	1	1	1	1	1
ABO6g	1	1	1	1	1	1	1	1	1	1
ABO7g	1	1	1	1	1	1	1	1	1	1
ABO8g	1	0	0	1	1	0	0	0	0	1
ABO9g	1	1	1	1	1	1	1	1	1	1
ABTArm	1	1	1	1	1	1	1	1	1	1
ABTD	0	0	0	0	0	0	0	0	0	0
ABTti	1	1	1	1	1	1	1	1	1	1
ABUTD	1	1	1	1	1	1	1	1	1	1
ABUTt2r	1	1	1	1	1	1	1	1	1	1
ABUTt4_2_r	1	1	1	1	1	0	0	1	0	1
ACACT10m	1	1	1	1	1	1	1	1	1	1
ACACT1r	1	1	1	1	1	1	1	1	1	1
ACACT1rm	1	1	1	1	1	1	1	1	1	1
ACACT1x	1	1	1	1	1	1	1	1	1	1
ACACt2	1	1	1	1	1	1	1	1	1	1
ACACt2m	1	1	1	1	1	1	1	1	1	1
ACACT4p	1	1	1	1	1	1	1	1	1	1
